time,altitude,velocity,accel_bias,alt (bmp),accx,accy,accz,vert_accel, gyro[0], gyro[1], gyro[2]
1684198325512947900,520.7397,-0.0002,-0.0000,520.7397,-0.1725,0.1890,9.7611,-0.0427,-0.1831,0.0610,0.0000
1684198325522513954,520.7397,-0.0004,-0.0000,520.7397,-0.1509,0.1962,9.7396,-0.0438,-0.1221,-0.0610,0.0000
1684198325523672950,520.7396,-0.0006,-0.0000,520.7397,-0.1653,0.1579,9.7658,-0.0435,-0.1221,-0.0610,0.0000
1684198325532491322,520.7396,-0.0009,-0.0000,520.7397,-0.1917,0.1627,9.7110,-0.0460,-0.1221,0.0610,0.0000
1684198325533626197,520.7396,-0.0011,-0.0000,520.7397,-0.1461,0.1364,9.7896,-0.0444,0.0000,0.1221,0.0000
1684198325542486688,520.7396,-0.0013,-0.0000,520.7397,-0.1557,0.1483,9.8182,-0.0415,-0.1831,0.0000,0.0000
1684198325543633477,520.7396,-0.0015,-0.0000,520.7397,-0.1629,0.2009,9.7849,-0.0404,0.0000,0.0610,0.0610
1684198325552478845,520.7396,-0.0017,-0.0000,520.7397,-0.1605,0.2105,9.7325,-0.0419,-0.1831,-0.0610,0.0000
1684198325553613345,520.7396,-0.0019,-0.0000,520.7397,-0.1102,0.1172,9.7777,-0.0412,-0.1221,0.0610,0.0000
1684198325562482835,520.7396,-0.0021,-0.0000,521.0806,-0.1821,0.1794,9.7658,-0.0410,0.0000,0.0000,-0.1221
1684198325563626458,520.7400,-0.0023,-0.0000,521.0806,-0.1557,0.1962,9.7753,-0.0404,-0.2441,0.0000,0.0000
1684198325570599559,520.7404,-0.0024,-0.0000,521.0806,-0.1629,0.1698,9.7753,-0.0398,-0.0610,0.0610,0.0610
1684198325573686814,520.7409,-0.0026,-0.0000,521.0806,-0.1677,0.1627,9.7658,-0.0397,-0.1831,0.1221,0.0000
1684198325578605842,520.7413,-0.0027,-0.0000,521.0806,-0.1821,0.1698,9.7277,-0.0416,-0.1221,0.0000,0.0000
1684198325587226451,520.7417,-0.0029,-0.0000,521.0806,-0.1294,0.1818,9.8015,-0.0396,-0.1831,-0.1831,-0.1831
1684198325588586918,520.7421,-0.0030,-0.0000,521.0806,-0.1557,0.1890,9.8468,-0.0355,-0.1831,0.0000,-0.1221
1684198325597453908,520.7425,-0.0031,-0.0000,521.0806,-0.1653,0.1890,9.7706,-0.0354,-0.1831,-0.0610,-0.1221
1684198325598583908,520.7429,-0.0032,-0.0000,521.0806,-0.1581,0.1722,9.7229,-0.0377,-0.1831,-0.0610,-0.1221
1684198325607225681,520.7433,-0.0034,-0.0000,521.0806,-0.1318,0.1962,9.7730,-0.0374,-0.3662,-0.0610,0.0000
1684198325608959510,520.7437,-0.0035,-0.0000,521.0957,-0.1557,0.1770,9.8039,-0.0355,-0.1831,-0.0610,0.0000
