time,altitude,velocity,accel_bias,alt (bmp),accx,accy,accz,vert_accel,gyro[0],gyro[1],gyro[2]
1684208814715167074,525.4541,-0.0000,-0.0000,525.4541,-0.1677,0.1866,9.8015,-0.0026,-0.1221,0.0610,0.1221
1684208814717555725,525.4541,-0.0000,-0.0000,525.4541,-0.1533,0.1842,9.7896,-0.0032,-0.1221,-0.0610,0.0000
1684208814725076569,525.4541,-0.0001,-0.0000,525.4541,-0.1845,0.2009,9.7349,-0.0065,-0.2441,-0.0610,0.0610
1684208814726679071,525.4541,-0.0001,-0.0000,525.4541,-0.1701,0.1722,9.8635,-0.0032,-0.1831,-0.0610,0.0000
1684208814735525397,525.4541,-0.0001,-0.0000,525.4541,-0.2108,0.1627,9.8015,-0.0031,-0.3052,-0.0610,0.0000
1684208814736657519,525.4541,-0.0001,-0.0000,525.4541,-0.1917,0.1746,9.8087,-0.0027,-0.1221,-0.0610,0.1221
1684208814745070877,525.4541,-0.0001,-0.0000,525.4541,-0.1437,0.1818,9.7539,-0.0051,-0.2441,-0.0610,0.1221
1684208814746643757,525.4541,-0.0002,-0.0000,525.4541,-0.2012,0.1794,9.8039,-0.0049,-0.2441,-0.0610,0.0000
1684208814755515497,525.4541,-0.0002,-0.0000,525.4541,-0.2060,0.1770,9.8182,-0.0039,-0.3052,-0.0610,0.0000
1684208814756983885,525.4541,-0.0002,-0.0000,525.1909,-0.1893,0.1053,9.7277,-0.0076,-0.3052,0.0000,0.0610
1684208814765108932,525.4537,-0.0003,0.0000,525.1909,-0.1701,0.1364,9.8015,-0.0073,-0.0610,0.0000,0.0000
1684208814766643815,525.4534,-0.0004,0.0000,525.1909,-0.1725,0.1818,9.8230,-0.0060,-0.2441,0.0000,0.0000
1684208814775509972,525.4531,-0.0004,0.0000,525.1909,-0.2252,0.2033,9.8349,-0.0041,-0.1831,0.0000,0.0000
1684208814776644177,525.4527,-0.0005,0.0000,525.1909,-0.1893,0.1698,9.7825,-0.0050,-0.3662,-0.0610,0.0000
1684208814785072785,525.4524,-0.0006,0.0000,525.1909,-0.1821,0.1244,9.7539,-0.0073,-0.1221,0.0000,0.0610
1684208814786624250,525.4521,-0.0007,0.0000,525.1909,-0.2204,0.1411,9.7849,-0.0079,-0.1221,-0.0610,0.0000
1684208814795497864,525.4517,-0.0007,0.0000,525.1909,-0.1533,0.1698,9.7753,-0.0089,-0.3052,-0.1831,0.1221
1684208814796624987,525.4514,-0.0008,0.0000,525.1909,-0.1605,0.1579,9.7444,-0.0115,-0.3052,-0.0610,0.0610
1684208814805169960,525.4511,-0.0009,0.0000,525.1909,-0.1893,0.1220,9.8135,-0.0105,-0.1831,-0.0610,0.1221
1684208814807027485,525.4507,-0.0010,0.0000,525.2057,-0.1557,0.1435,9.8135,-0.0095,-0.3662,-0.0610,0.0000
1684208814815514296,525.4504,-0.0011,0.0000,525.2057,-0.1845,0.1531,9.7801,-0.0102,-0.1831,0.0000,0.0000
1684208814816656876,525.4501,-0.0012,0.0000,525.2057,-0.1653,0.1818,9.7682,-0.0115,-0.3052,-0.0610,0.0610
1684208814821632621,525.4498,-0.0013,0.0000,525.2057,-0.1893,0.1698,9.7944,-0.0114,-0.3052,-0.0610,0.0610
1684208814830527943,525.4495,-0.0014,0.0000,525.2057,-0.1581,0.1555,9.7253,-0.0148,-0.3662,-0.0610,0.0000
1684208814831662690,525.4492,-0.0015,0.0000,525.2057,-0.1557,0.1770,9.7468,-0.0170,-0.1831,-0.0610,0.0000
1684208814840479684,525.4488,-0.0016,0.0000,525.2057,-0.1390,0.1507,9.8420,-0.0142,-0.2441,-0.0610,0.0610
1684208814841612514,525.4485,-0.0018,0.0000,525.2057,-0.1797,0.1411,9.7825,-0.0146,-0.3662,-0.1831,0.0000
1684208814846594134,525.4482,-0.0019,0.0000,525.2057,-0.2012,0.1938,9.8540,-0.0114,-0.1831,0.0000,0.0000
1684208814855473749,525.4479,-0.0020,0.0000,525.2057,-0.1677,0.1316,9.7182,-0.0151,-0.1831,-0.2441,0.0000
1684208814856919597,525.4476,-0.0021,0.0001,525.2057,-0.1318,0.1459,9.7539,-0.0169,-0.3662,-0.0610,0.0000
1684208814865112014,525.4473,-0.0022,0.0001,525.2057,-0.1509,0.1459,9.7539,-0.0186,-0.2441,0.0000,0.0610
1684208814869112417,525.4470,-0.0023,0.0001,525.2057,-0.1485,0.1579,9.8373,-0.0161,-0.1831,-0.2441,0.0610
