time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
0.000000000,  0.0000, 0.0000, 0.0000, 547.3436, 0.0000,
0.020126166,547.3436,-0.0047,-0.0000, 547.3436,-0.2349,
0.040236981,547.3435,-0.0094,-0.0000, 547.3436,-0.2398,
0.060359587,547.3423,-0.0143, 0.0000, 546.9819,-0.2371,
0.080473694,547.3402,-0.0193, 0.0000, 546.9819,-0.2374,
0.100585009,547.3379,-0.0244, 0.0000, 547.1791,-0.2437,
0.120697783,547.3366,-0.0294, 0.0000, 547.1791,-0.2483,
0.141049489,547.3352,-0.0345, 0.0000, 547.1791,-0.2463,
0.161170678,547.3332,-0.0394, 0.0001, 546.9884,-0.2403,
0.181283452,547.3306,-0.0444, 0.0001, 546.9884,-0.2342,
0.201395600,547.3280,-0.0493, 0.0001, 547.1640,-0.2388,
0.221507874,547.3261,-0.0542, 0.0001, 547.1640,-0.2396,
0.241620606,547.3242,-0.0591, 0.0001, 547.1640,-0.2401,
0.261741795,547.3220,-0.0640, 0.0001, 547.1170,-0.2387,
0.281928435,547.3196,-0.0690, 0.0001, 547.1170,-0.2466,
0.302043917,547.3172,-0.0741, 0.0001, 547.3594,-0.2488,
0.322158649,547.3159,-0.0791, 0.0001, 547.3594,-0.2496,
0.342275630,547.3145,-0.0840, 0.0001, 547.3594,-0.2493,
0.362392653,547.3129,-0.0891, 0.0001, 547.3124,-0.2555,
0.382643537,547.3110,-0.0941, 0.0001, 547.3124,-0.2527,
0.402764768,547.3091,-0.0991, 0.0001, 547.0419,-0.2536,
0.422887374,547.3057,-0.1044, 0.0001, 547.0419,-0.2530,
0.443006438,547.3023,-0.1096, 0.0001, 547.0419,-0.2508,
0.463139043,547.2986,-0.1148, 0.0002, 546.9967,-0.2485,
0.483260690,547.2948,-0.1200, 0.0002, 546.9967,-0.2506,
0.503384588,547.2908,-0.1252, 0.0002, 547.0824,-0.2491,
0.523537732,547.2872,-0.1302, 0.0002, 547.0824,-0.2469,
0.543645173,547.2836,-0.1353, 0.0002, 547.0824,-0.2488,
0.563755905,547.2797,-0.1404, 0.0002, 547.0419,-0.2462,
0.583861847,547.2757,-0.1455, 0.0002, 547.0419,-0.2474,
0.603976371,547.2715,-0.1506, 0.0002, 546.4666,-0.2464,
0.624088729,547.2644,-0.1561, 0.0002, 546.4666,-0.2524,
0.644199003,547.2572,-0.1616, 0.0003, 546.4666,-0.2488,
0.664307444,547.2512,-0.1670, 0.0003, 546.9469,-0.2510,
0.684420177,547.2463,-0.1723, 0.0003, 546.9469,-0.2533,
0.704528160,547.2413,-0.1776, 0.0003, 546.9874,-0.2570,
0.724697969,547.2352,-0.1844, 0.0003, 546.9874,-0.2648,
0.744811035,547.2302,-0.1898, 0.0003, 546.9874,-0.2595,
0.764920268,547.2260,-0.1950, 0.0004, 547.2072,-0.2600,
0.785033667,547.2220,-0.2002, 0.0004, 547.2072,-0.2564,
0.805144566,547.2178,-0.2054, 0.0004, 547.1379,-0.2628,
0.826712183,547.2144,-0.2094, 0.0004, 547.1379,-0.2630,
0.846838830,547.2097,-0.2148, 0.0004, 547.1379,-0.2665,
0.867086715,547.2051,-0.2201, 0.0004, 547.1424,-0.2645,
0.887205197,547.2003,-0.2254, 0.0004, 547.1424,-0.2582,
0.907321720,547.1955,-0.2306, 0.0004, 547.3028,-0.2611,
0.927436411,547.1914,-0.2357, 0.0004, 547.3028,-0.2571,
0.947558309,547.1872,-0.2408, 0.0004, 547.3028,-0.2546,
0.967679749,547.1827,-0.2458, 0.0004, 547.2281,-0.2507,
0.987802605,547.1780,-0.2506, 0.0004, 547.2281,-0.2400,
