time,altitude,velocity,accel_bias,alt (bmp),vert_accel
128.752090885,593.5164, 0.0226,-0.2660, 593.0231,-0.2682
128.772216552,593.5154, 0.0225,-0.2660, 593.3031,-0.2638
128.792325429,593.5147, 0.0223,-0.2660, 593.3031,-0.2682
128.812430974,593.5143, 0.0221,-0.2660, 593.4692,-0.2707
128.832543184,593.5145, 0.0220,-0.2660, 593.4692,-0.2732
128.852653978,593.5147, 0.0218,-0.2660, 593.4692,-0.2760
128.872775063,593.5140, 0.0215,-0.2659, 593.2429,-0.2739
128.892892022,593.5131, 0.0213,-0.2659, 593.2429,-0.2669
128.913003983,593.5125, 0.0211,-0.2659, 593.5294,-0.2693
128.933117693,593.5130, 0.0211,-0.2659, 593.5294,-0.2685
128.953227987,593.5135, 0.0211,-0.2659, 593.5294,-0.2691
128.973349279,593.5140, 0.0209,-0.2659, 593.5329,-0.2710
128.993464948,593.5145, 0.0209,-0.2659, 593.5329,-0.2657
129.013577741,593.5151, 0.0209,-0.2659, 593.6689,-0.2652
129.033681286,593.5163, 0.0211,-0.2659, 593.6689,-0.2643
129.053789747,593.5175, 0.0213,-0.2659, 593.6689,-0.2579
129.073915581,593.5185, 0.0216,-0.2659, 593.6221,-0.2502
129.094025667,593.5194, 0.0220,-0.2660, 593.6221,-0.2506
129.114135877,593.5201, 0.0222,-0.2660, 593.3803,-0.2574
129.134247546,593.5198, 0.0223,-0.2659, 593.3803,-0.2534
129.154357007,593.5195, 0.0224,-0.2659, 593.3803,-0.2587
129.174470301,593.5208, 0.0227,-0.2659, 593.7750,-0.2597
129.194579512,593.5225, 0.0229,-0.2660, 593.7750,-0.2621
129.214730133,593.5239, 0.0231,-0.2660, 593.5315,-0.2614
129.234832595,593.5244, 0.0232,-0.2660, 593.5315,-0.2575
129.254939099,593.5249, 0.0233,-0.2660, 593.5315,-0.2666
129.275079141,593.5255, 0.0234,-0.2660, 593.5649,-0.2596
129.295181231,593.5261, 0.0235,-0.2660, 593.5649,-0.2592
129.315278279,593.5266, 0.0238,-0.2660, 593.4557,-0.2559
129.335381202,593.5268, 0.0239,-0.2660, 593.4557,-0.2560
129.355504955,593.5269, 0.0239,-0.2660, 593.4557,-0.2647
129.375609585,593.5265, 0.0240,-0.2660, 593.3200,-0.2523
129.395709342,593.5259, 0.0241,-0.2659, 593.3200,-0.2546
129.415822721,593.5251, 0.0241,-0.2659, 593.1554,-0.2620
129.435925311,593.5234, 0.0239,-0.2659, 593.1554,-0.2639
129.456013736,593.5220, 0.0238,-0.2659, 593.1554,-0.2649
129.476126990,593.5204, 0.0234,-0.2659, 593.1082,-0.2654
129.496232371,593.5187, 0.0231,-0.2659, 593.1082,-0.2738
129.516336376,593.5184, 0.0229,-0.2659, 593.6086,-0.2647
129.536436133,593.5193, 0.0230,-0.2659, 593.6086,-0.2688
129.556540430,593.5202, 0.0229,-0.2659, 593.5026,-0.2713
129.576815661,593.5205, 0.0229,-0.2659, 593.5026,-0.2628
129.596919625,593.5209, 0.0230,-0.2659, 593.5026,-0.2597
129.617023297,593.5209, 0.0231,-0.2659, 593.3817,-0.2562
129.637124720,593.5207, 0.0233,-0.2659, 593.3817,-0.2499
129.657230976,593.5204, 0.0235,-0.2659, 593.2777,-0.2496
129.677505498,593.5197, 0.0236,-0.2658, 593.2777,-0.2536
129.697611753,593.5189, 0.0239,-0.2658, 593.2777,-0.2372
129.717714218,593.5175, 0.0243,-0.2658, 593.0159,-0.2379
129.737814641,593.5155, 0.0242,-0.2658, 593.0159,-0.2703
